Partial_Entity_Name,State,State_Short,Full_Entity_Name,Match_Status,Matched_Name,Confidence_Score,Match_Stage,Context_Notes,Top_3_Candidates
CITY OF ST PETERSBURG,Florida,FL,FL-CITY OF ST PETERSBURG,Matched,FL-CITY OF ST PETERSBURG,1.0,exact,,
CITY OF TEMPLE TERRACE,Florida,FL,FL-CITY OF TEMPLE TERRACE,Matched,FL-CITY OF TEMPLE TERRACE,1.0,exact,,
HERNANDO COUNTY SCHOOL DISTRICT,Florida,FL,FL-HERNANDO COUNTY SCHOOL DISTRICT,Matched,FL-HERNANDO COUNTY SCHOOL DISTRICT,1.0,exact,,
PILOT POINT ISD,Texas,TX,TX-PILOT POINT ISD,Matched,TX-PILOT POINT ISD,1.0,exact,,
PONDER ISD,Texas,TX,TX-PONDER ISD,Matched,TX-PONDER ISD,1.0,exact,,
SAN ANTONIO ISD,Texas,TX,TX-SAN ANTONIO ISD,Matched,TX-SAN ANTONIO ISD,1.0,exact,,
SEGUIN ISD,Texas,TX,TX-SEGUIN ISD,Matched,TX-SEGUIN ISD,1.0,exact,,
SHARYLAND ISD,Texas,TX,TX-SHARYLAND ISD,Matched,TX-SHARYLAND ISD,1.0,exact,,
SNOOK ISD,Texas,TX,TX-SNOOK ISD,Matched,TX-SNOOK ISD,1.0,exact,,
TEXHOMA ISD,Texas,TX,TX-TEXHOMA ISD,Matched,TX-TEXHOMA ISD,1.0,exact,,
MCALLEN ISD,Texas,TX,TX-MCALLEN ISD,Matched,TX-MCALLEN ISD,1.0,exact,,
MCKINNEY ISD,Texas,TX,TX-MCKINNEY ISD,Matched,TX-MCKINNEY ISD,1.0,exact,,
MIDWAY ISD,Texas,TX,TX-MIDWAY ISD,Matched,TX-MIDWAY ISD,1.0,exact,,
NAVARRO ISD,Texas,TX,TX-NAVARRO ISD,Matched,TX-NAVARRO ISD,1.0,exact,,
NEW CANEY ISD,Texas,TX,TX-NEW CANEY ISD,Matched,TX-NEW CANEY ISD,1.0,exact,,
ATLANTA PUBLIC SCHOOLS,Georgia,GA,GA-ATLANTA PUBLIC SCHOOLS,Matched,GA-ATLANTA PUBLIC SCHOOLS,1.0,exact,,
CITY OF BATAVIA,Illinois,IL,IL-CITY OF BATAVIA,Matched,IL-CITY OF BATAVIA,1.0,exact,,
CITY OF GENEVA,Illinois,IL,IL-CITY OF GENEVA,Matched,IL-CITY OF GENEVA,1.0,exact,,
CITY OF PROSPECT HEIGHTS,Illinois,IL,IL-CITY OF PROSPECT HEIGHTS,Matched,IL-CITY OF PROSPECT HEIGHTS,1.0,exact,,
COLLEGE OF DUPAGE,Illinois,IL,IL-COLLEGE OF DUPAGE,Matched,IL-COLLEGE OF DUPAGE,1.0,exact,,
MILFORD PUBLIC SCHOOLS,Connecticut,CT,CT-MILFORD PUBLIC SCHOOLS,Matched,CT-MILFORD PUBLIC SCHOOLS,1.0,exact,,
TOWN OF MADISON,Connecticut,CT,CT-TOWN OF MADISON,Matched,CT-TOWN OF MADISON,1.0,exact,,
